Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status
Illustration / infographics,CONTENT_DESIGN,111,74,9,19,82.0,26.126126126126124,0.9,0.9,0.99,0.9,0.9,0.86,29,7,26.126126126126128,0.40425531914893614,0.46808510638297873,0.425531914893617,0.0851063829787234,0.7659574468085106,57.370106382978726,86.60531914893616,68.46170212765958,79.93617021276596,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Data entry / back-office processing,DATA_ADMIN,90,46,9,18,60.0,28.888888888888886,0.94,0.95,0.99,0.94,0.94,0.88,37,3,41.111111111111114,0.3617021276595745,0.3404255319148936,0.7021276595744681,0.1702127659574468,0.40425531914893614,57.256170212765944,92.52127659574467,70.46170212765958,84.52553191489362,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Video production,VIDEO_AUDIO,123,85,9,13,82.0,26.82926829268293,0.72,0.88,0.7,0.72,0.6,0.84,39,7,31.70731707317073,0.44680851063829785,0.48936170212765956,0.574468085106383,0.10638297872340426,0.7659574468085106,56.49723404255319,69.64468085106384,62.82127659574468,77.63829787234043,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Website maintenance / content updates,WEB_DIGITAL,220,153,8,24,20.0,30.454545454545457,0.7,0.82,0.95,0.82,0.82,0.82,52,11,23.636363636363637,0.574468085106383,0.6595744680851063,0.3191489361702128,0.3617021276595745,0.14893617021276595,55.3913829787234,78.94148936170212,64.27446808510638,75.3872340425532,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Voice-over / narration / audio editing,VIDEO_AUDIO,51,32,8,17,72.0,43.13725490196079,0.88,0.93,0.98,0.88,0.88,0.86,6,2,11.764705882352942,0.2553191489361702,0.2765957446808511,0.14893617021276595,0.9361702127659575,0.6808510638297872,54.73946808510639,82.93936170212766,58.94468085106382,76.15531914893617,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Annual report / publication layout,CONTENT_DESIGN,52,42,8,12,80.0,34.61538461538461,0.82,0.92,0.98,0.88,0.86,0.85,9,1,17.307692307692307,0.2765957446808511,0.3191489361702128,0.23404255319148937,0.6382978723404256,0.723404255319149,53.996808510638296,83.1404255319149,58.05957446808511,76.78191489361701,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Presentation / template design,CONTENT_DESIGN,65,31,6,18,20.0,29.230769230769234,0.88,0.94,0.99,0.94,0.92,0.88,32,5,49.23076923076923,0.2978723404255319,0.23404255319148937,0.851063829787234,0.19148936170212766,0.14893617021276595,53.862659574468076,93.36063829787233,66.37872340425531,84.55106382978724,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Video editing / post-production,VIDEO_AUDIO,37,29,5,10,82.0,32.432432432432435,0.88,0.94,0.99,0.9,0.88,0.88,10,3,27.027027027027028,0.1702127659574468,0.19148936170212766,0.44680851063829785,0.5106382978723404,0.7659574468085106,53.47755319148935,86.91808510638297,59.144680851063825,79.48297872340426,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Desk research / information collection,RESEARCH_ADMIN,43,30,7,13,20.0,37.2093023255814,0.84,0.84,0.98,0.78,0.78,0.84,14,3,32.55813953488372,0.19148936170212766,0.2127659574468085,0.5957446808510638,0.851063829787234,0.14893617021276595,51.76297872340425,80.05744680851063,59.178723404255315,74.38510638297873,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Online survey setup,RESEARCH_ADMIN,48,36,8,11,60.0,37.5,0.82,0.82,0.99,0.8,0.84,0.84,7,2,14.583333333333334,0.23404255319148937,0.2978723404255319,0.19148936170212766,0.8723404255319149,0.40425531914893614,50.203510638297864,78.06489361702127,56.363829787234046,70.6936170212766,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Direct mail / envelope / routing,PRINT_BROKERAGE,88,69,8,9,82.0,34.090909090909086,0.2,0.99,0.78,0.82,0.78,0.72,10,2,11.363636363636363,0.3404255319148936,0.425531914893617,0.1276595744680851,0.6170212765957447,0.7659574468085106,49.43351063829786,76.02659574468085,30.668085106382975,75.43191489361702,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Photography,VIDEO_AUDIO,195,139,8,15,15.0,32.30769230769231,0.45,0.94,0.2,0.86,0.76,0.78,45,9,23.076923076923077,0.5531914893617021,0.5957446808510638,0.2978723404255319,0.46808510638297873,0.0,48.751170212765956,69.17872340425532,51.02872340425532,78.93617021276596,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Promotional merchandise / branded items,PRINT_BROKERAGE,174,137,8,13,15.0,33.33333333333333,0.18,0.99,0.9,0.88,0.88,0.76,23,6,13.218390804597702,0.5106382978723404,0.574468085106383,0.1702127659574468,0.5531914893617021,0.0,48.34329787234043,82.85212765957446,36.231914893617024,79.24680851063832,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Animation / motion design,VIDEO_AUDIO,21,20,5,7,82.0,42.857142857142854,0.9,0.92,0.99,0.86,0.84,0.9,0,0,0.0,0.0851063829787234,0.1276595744680851,0.0,0.8936170212765957,0.7659574468085106,47.365212765957445,79.75,53.11702127659574,73.47659574468086,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Survey data processing / coding,DATA_ADMIN,11,8,4,7,20.0,54.54545454545454,0.88,0.9,0.98,0.84,0.86,0.84,3,1,27.272727272727273,0.0425531914893617,0.0425531914893617,0.46808510638297873,1.0,0.14893617021276595,47.06553191489361,83.78085106382979,54.17021276595745,74.70638297872341,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Interpretation services,LANGUAGE,235,167,8,14,15.0,23.829787234042556,0.3,0.98,0.6,0.72,0.72,0.68,50,11,21.27659574468085,0.5957446808510638,0.6808510638297872,0.2553191489361702,0.06382978723404255,0.0,46.08042553191489,69.45319148936171,44.98085106382979,76.36170212765958,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Cataloguing / indexing / metadata,DATA_ADMIN,27,18,6,7,20.0,29.629629629629626,0.84,0.88,0.94,0.8,0.86,0.82,12,3,44.44444444444444,0.1276595744680851,0.10638297872340426,0.7659574468085106,0.2553191489361702,0.14893617021276595,46.067872340425524,84.45957446808511,57.808510638297875,76.42340425531916,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Office / presentation equipment supply,PROCUREMENT_BROKERAGE,99,71,6,16,15.0,33.33333333333333,0.1,0.98,0.75,0.72,0.76,0.52,25,4,25.252525252525253,0.3829787234042553,0.44680851063829785,0.3829787234042553,0.5531914893617021,0.0,44.25712765957447,73.97978723404255,27.891489361702128,71.29787234042554,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Microsites / campaign landing pages,WEB_DIGITAL,12,10,5,10,82.0,8.333333333333332,0.82,0.88,0.98,0.88,0.86,0.86,3,1,25.0,0.06382978723404255,0.06382978723404255,0.3617021276595745,0.0425531914893617,0.7659574468085106,42.32255319148936,83.81702127659575,51.351063829787236,74.15531914893617,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Subtitles / captions,VIDEO_AUDIO,22,16,6,8,85.0,27.27272727272727,0.94,0.95,0.99,0.94,0.95,0.88,0,0,0.0,0.10638297872340426,0.0851063829787234,0.0,0.1276595744680851,0.9148936170212766,42.05212765957447,85.75,54.50425531914893,74.95106382978723,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Event audiovisual / livestream,EVENT_MEDIA,35,23,6,14,40.0,37.142857142857146,0.58,0.96,0.35,0.76,0.56,0.8,0,0,0.0,0.14893617021276595,0.14893617021276595,0.0,0.8297872340425532,0.3829787234042553,37.816489361702125,60.24999999999999,39.31276595744681,71.28936170212766,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Newsletter / magazine production,PRINT_BROKERAGE,47,27,6,13,20.0,29.78723404255319,0.58,0.96,0.9,0.82,0.82,0.82,5,1,10.638297872340425,0.2127659574468085,0.1702127659574468,0.10638297872340426,0.2978723404255319,0.14893617021276595,36.93340425531915,78.16382978723404,42.17234042553192,73.9659574468085,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
