Niche,Macro_Category,Warehouse_Source,Country,Buyer_ID,Buyer_Name,Tender_Count,First_Date,Last_Date,Active_Years,Active_Span_Days
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_f89b7c0058e63ff5f2a4,Royal Canadian Mounted Police,130,2023-08-02,2025-04-08,3,615
Transcription / minutes,VIDEO_AUDIO,TED,POL,buy_e4d061caa68fce2f60e7,Miasto i Gmina Uzdrowiskowa Muszyna,125,2023-11-06,2026-08-06,4,1004
Website design / redesign,WEB_DIGITAL,TED,AUT,buy_001cc06b96d8f5cfe636,International Centre for Migration Policy Development (ICMPD),121,2023-11-16,2026-08-05,4,993
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,ITA,buy_811f3d14bc58dffafbdd,Asst degli Spedali Civili di Brescia,119,2023-12-19,2026-08-06,4,961
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_73af9093eb082788092b,Department of National Defence (DND),118,2023-10-13,2026-07-28,4,1019
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,NOR,buy_581df20f038735ed5497,OFA - Konkurranseportal,114,2023-11-17,2026-08-03,4,990
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,HUN,buy_b01261b2534556cbe22a,Széchenyi István Egyetem,108,2023-11-06,2026-08-11,4,1009
Online forms / lightweight portals,WEB_DIGITAL,TED,ISL,buy_762b14c03b51c7f5e2fb,Landspítali Háskólasjúkrahús,95,2023-10-27,2026-07-06,4,983
Document digitization / scanning,DATA_ADMIN,TED,CHE,buy_bacf2bcb45c828276231,Fachhochschule Graubünden (FHGR),94,2023-10-11,2026-07-31,4,1024
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_0607a8a09c35020b4e75,Department of Public Works and Government Services (PSPC),88,2023-11-09,2026-07-31,4,995
Workflow automation / RPA,AUTOMATION_SOFTWARE,Quebec,Canada - Quebec,buy_22070916a2334d37e1ed,CISSS Montérégie-Ouest,85,2024-04-30,2026-07-31,3,822
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_f8ed0d89ecd0854f9997,Gemeente Eemsdelta,85,2023-10-04,2026-06-22,4,992
Document digitization / scanning,DATA_ADMIN,TED,FIN,buy_b25d30d271157ab27322,Helsingin kaupunki,83,2023-09-12,2026-05-21,4,982
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,POL,buy_8a419ea0c511ed35f932,STAROSTWO POWIATOWE W LEGIONOWIE,79,2023-11-09,2026-08-12,4,1007
Digital marketing / SEO / campaigns,CONTENT_DESIGN,TED,ESP,buy_262acb26bfbdf5a4121e,Dirección General de la Fundación del Teatro Real,79,2023-11-16,2026-08-06,4,994
Online forms / lightweight portals,WEB_DIGITAL,TED,ROU,buy_56f10621e0007ccb73ca,Directoratul National de Securitate Cibernetica,79,2023-10-26,2026-08-05,4,1014
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,DNK,buy_ccb634a88b3b7aa188bd,Københavns Kommune - Teknik- og Miljøforvaltningen,75,2023-11-03,2026-06-30,4,970
Website design / redesign,WEB_DIGITAL,Belgium,BE,buy_55482dd5008cc4f7b03550a7,Agentschap Facilitair Bedrijf,74,2023-08-23,2026-07-23,4,1065
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_9fc5eb1a75b7be66a3bf,Department of National Defence,68,2023-09-20,2025-04-11,3,569
Online forms / lightweight portals,WEB_DIGITAL,TED,PRT,buy_091d5eef279cbb542f9f,Autoridade Tributária e Aduaneira,65,2024-03-18,2026-07-30,3,864
Signage / wayfinding / vinyl,PRINT_BROKERAGE,TED,CHE,buy_bacf2bcb45c828276231,Pragma partenaires SA,64,2023-10-21,2026-07-21,4,1004
Document digitization / scanning,DATA_ADMIN,Quebec,Canada - Quebec,buy_d52d10b7f5b6cc74b715,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),64,2023-08-08,2025-10-22,3,806
Document digitization / scanning,DATA_ADMIN,TED,AUT,buy_001cc06b96d8f5cfe636,"Land Niederösterreich, p.A. Amt der NÖ-Landesregierung",63,2023-11-09,2026-07-09,4,973
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_4f71655de7956ae79d28,Universität der Bundeswehr München (UniBw M),62,2023-12-04,2026-04-23,4,871
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,ESP,buy_262acb26bfbdf5a4121e,"Área de Gobierno de Vicealcaldía, Portavoz, Seguridad y Emergencias del Ayuntamiento de Madrid",61,2023-11-14,2026-07-23,4,982
Simple API / software integration,AUTOMATION_SOFTWARE,TED,CZE,buy_85fe87d2665464f38efa,"Správa železnic, státní organizace",59,2024-03-13,2026-07-15,3,854
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_5fd711f40bca024ff1e7,Defence Construction Canada - Western Region,57,2023-08-16,2026-07-23,4,1072
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,CZE,buy_6f79629fe8c07370e0e8,Galileo Corporation s.r.o.,57,2024-02-12,2026-05-19,3,827
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_6683810f65ff099116e9,Defence Construction Canada - Ontario Region,55,2023-10-12,2026-07-31,4,1023
Small IT equipment supply,PROCUREMENT_BROKERAGE,Ireland,Ireland,buy_860d15b68965ace7f85c,The Office of Government Procurement,55,2023-09-06,2025-12-12,3,828
Website design / redesign,WEB_DIGITAL,TED,CHE,buy_bacf2bcb45c828276231,"Bau- und Verkehrsdepartement des Kantons Basel-Stadt, Kantonale Fachstelle für öffentliche Beschaffungen",54,2023-10-17,2026-07-28,4,1015
Digital marketing / SEO / campaigns,CONTENT_DESIGN,TED,ROU,buy_56f10621e0007ccb73ca,COMPANIA NATIONALA DE INVESTITII SA,54,2024-07-11,2026-07-24,3,743
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_57d655f84fdcf42477da,Defence Construction Canada - Atlantic Region,54,2023-08-08,2026-06-26,4,1053
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,SWE,buy_3d59e3bbb5e2f64301ba,Vattenfall,53,2023-10-24,2026-08-06,4,1017
Transcription / minutes,VIDEO_AUDIO,TED,ITA,buy_811f3d14bc58dffafbdd,Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico,53,2024-02-12,2026-07-31,3,900
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_791eee1503ad845bded7,RCMP,53,2023-08-14,2025-03-10,3,574
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,MLT,buy_49603fbd0efcf57ee39e,Ministry for Home Affairs Security and Employment,52,2023-12-18,2026-08-03,4,959
Website design / redesign,WEB_DIGITAL,TED,POL,buy_e4d061caa68fce2f60e7,Centralny Instytut Ochrony Pracy - Państwowy Instytut Badawczy,51,2023-12-27,2026-08-07,4,954
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,EST,buy_e908f43d1dc8cf42dee7,Riigi Info- ja Kommunikatsioonitehnoloogia Keskus,51,2023-08-01,2026-07-22,4,1086
Translation / localization,LANGUAGE,TED,NOR,buy_581df20f038735ed5497,Vennesla Kommune,50,2023-11-02,2026-06-24,4,965
Online forms / lightweight portals,WEB_DIGITAL,TED,PL,buy_3f29bdf36e9c1aa789c3,2 Regionalna Baza Logistyczna,50,2023-08-07,2023-11-07,1,92
Signage / wayfinding / vinyl,PRINT_BROKERAGE,TED,LUX,buy_eeed8814d806fe8dfbe5,Le Fonds Belval,49,2024-01-15,2026-07-26,3,923
Document digitization / scanning,DATA_ADMIN,TED,ITA,buy_811f3d14bc58dffafbdd,Fondazione IRCCS Istituto Nazionale dei Tumori,48,2024-03-26,2026-07-14,3,840
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_ea2a10f3d9bde3e2cdbc,Marine Atlantic,47,2023-09-21,2026-06-22,4,1005
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_4850f11ec8e6e16fc9c1,Farm Credit Canada (FCC),46,2023-08-01,2026-07-06,4,1070
Web hosting / domain / SSL,WEB_DIGITAL,TED,DNK,buy_ccb634a88b3b7aa188bd,Danmarks Tekniske Universitet - DTU,45,2023-11-01,2026-07-06,4,978
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_9ecd089bd330339218a1a022,La Maison des Hommes,45,2023-12-04,2026-06-09,4,918
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,CHE,buy_bacf2bcb45c828276231,ETH Zürich Procurement & Export Services,44,2023-10-20,2026-07-07,4,991
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,POL,buy_e4d061caa68fce2f60e7,Uniwersytet Wrocławski,43,2023-11-29,2026-07-20,4,964
Brochure / flyer / poster printing,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_b019c77528b8fdf43a3f,Revenu Québec,43,2023-08-14,2026-07-10,4,1061
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_0dcb4b94d9492b125a25,Defence Construction Canada - Pacific Region,43,2023-08-01,2026-07-03,4,1067
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_13f59f34967830e01324,Freistaat Bayern vertreten durch das Bayerische Landesamt für Steuern - Zentrale Vergabestelle -,42,2023-11-09,2026-07-23,4,987
Website design / redesign,WEB_DIGITAL,TED,DNK,buy_ccb634a88b3b7aa188bd,Port of Aarhus (PoA),42,2023-11-08,2026-06-30,4,965
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,DNK,buy_ccb634a88b3b7aa188bd,Ministry of Foreign Affairs of Denmark,42,2024-01-12,2026-06-26,3,896
Transcription / minutes,VIDEO_AUDIO,TED,LUX,buy_eeed8814d806fe8dfbe5,Gerichtshof der Europäischen Union,42,2024-02-09,2026-04-30,3,811
Small IT equipment supply,PROCUREMENT_BROKERAGE,Canada federal,Canada,buy_0607a8a09c35020b4e75,Department of Public Works and Government Services (PSPC),41,2023-10-04,2026-07-31,4,1031
Document digitization / scanning,DATA_ADMIN,Germany,Germany,buy_14b5c2e3da752bbbc886,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,41,2023-11-09,2026-07-29,4,993
Document digitization / scanning,DATA_ADMIN,TED,FIN,buy_21d608cefc7ad1917578,University of Helsinki,41,2024-02-21,2026-07-23,3,883
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_94d2f30874fce115a793,University of Glasgow,41,2023-10-26,2026-07-21,4,999
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,LTU,buy_3878737b0bf9117c77ed,Valstybinio socialinio draudimo fondo valdyba prie Socialinės apsaugos ir darbo ministerijos,40,2024-02-28,2026-07-09,3,862
E-learning / training content,TRAINING,TED,NOR,buy_581df20f038735ed5497,SYKEHUSINNKJØP HF,40,2023-11-24,2026-07-01,4,950
Web accessibility remediation,WEB_DIGITAL,TED,POL,buy_e4d061caa68fce2f60e7,POWIAT ROPCZYCKO-SĘDZISZOWSKI,40,2024-04-25,2026-06-22,3,788
CMS development / migration,WEB_DIGITAL,TED,FIN,buy_b25d30d271157ab27322,Helsingin tapahtumasäätiö sr,39,2023-09-29,2026-06-15,4,990
Online forms / lightweight portals,WEB_DIGITAL,TED,DNK,buy_ccb634a88b3b7aa188bd,Udenrigsministeriet,39,2023-10-27,2026-06-12,4,959
Document digitization / scanning,DATA_ADMIN,Quebec,Canada - Quebec,buy_1acbe3d6dd69992b3886,Ministère des Transports et de la Mobilité durable (Direction générale de la gestion contractuelle),39,2024-01-09,2026-06-02,3,875
Transcription / minutes,VIDEO_AUDIO,Canada federal,Canada,buy_0607a8a09c35020b4e75,Department of Public Works and Government Services (PSPC),39,2023-09-13,2026-06-01,4,992
Website design / redesign,WEB_DIGITAL,TED,ESP,buy_262acb26bfbdf5a4121e,Administrador de Infraestructuras Ferroviarias,38,2023-12-29,2026-08-10,4,955
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_a19d53cc25f83c792ad1,National Research Council of Canada (NRC),38,2025-03-18,2026-07-24,2,493
Document digitization / scanning,DATA_ADMIN,TenderNed,Netherlands,buy_dddf0556d1d18b0828d0,Kamer van Koophandel,38,2023-10-04,2026-04-16,4,925
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_8bebc9db28b08c89585a,Correctional Service of Canada,38,2023-08-09,2025-02-25,3,566
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,ITA,buy_811f3d14bc58dffafbdd,Azienda Zero Passaggio Gaudenzio 1 - Padova,37,2023-12-29,2026-08-12,4,957
Brochure / flyer / poster printing,PRINT_BROKERAGE,Germany,Germany,buy_e76b31c9452c9348f667,Bundesdruckerei GmbH,37,2023-12-05,2026-07-13,4,951
Workflow automation / RPA,AUTOMATION_SOFTWARE,TED,ESP,buy_262acb26bfbdf5a4121e,Ente Vasco de la Energía,37,2023-12-05,2026-06-10,4,918
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_274f0834c95a789b4135,Defence Construction Canada - National Capital Region,37,2023-08-24,2026-05-19,4,999
Graphic design / layout,CONTENT_DESIGN,TED,NOR,buy_581df20f038735ed5497,Tolletaten,37,2023-10-31,2026-05-05,4,917
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_8706c7d48306a237cfa6,National Research Council Canada,37,2023-08-18,2025-03-17,3,577
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_647a738b2924c4ca4971,Agriculture and Agri-Food Canada,37,2023-08-02,2025-02-21,3,569
Copywriting / editorial content,CONTENT_DESIGN,Belgium,BE,buy_a699072713e9ed099148ceed,BH-P Logements,36,2023-10-25,2026-06-18,4,967
Document digitization / scanning,DATA_ADMIN,TED,LUX,buy_eeed8814d806fe8dfbe5,Bibliothèque nationale du Luxembourg,35,2023-12-21,2026-08-09,4,962
Website design / redesign,WEB_DIGITAL,TED,CZE,buy_85fe87d2665464f38efa,"Národní agentura pro komunikační a informační technologie, s. p.",35,2024-02-05,2026-08-07,3,914
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_36aa46a03a26956d5721,Ipswich Borough Council,35,2024-07-05,2026-06-30,3,725
Web hosting / domain / SSL,WEB_DIGITAL,TED,ESP,buy_262acb26bfbdf5a4121e,Presidencia de la Confederación Hidrográfica del Miño-Sil,35,2023-12-15,2026-06-25,4,923
Website design / redesign,WEB_DIGITAL,TED,ROU,buy_56f10621e0007ccb73ca,Universitatea Nationala de Stiinta si Tehnologie Politehnica Bucuresti,33,2024-01-09,2026-08-10,3,944
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_d237d1a1bd5c757a8f28,Milton Keynes City Council,33,2025-02-13,2026-07-16,2,518
Website design / redesign,WEB_DIGITAL,TED,ITA,buy_811f3d14bc58dffafbdd,C.S.O. Italy - Centro Servizi Ortofrutticoli - Società Cooperativa,31,2023-10-31,2026-08-06,4,1010
Transcription / minutes,VIDEO_AUDIO,Quebec,Canada - Quebec,buy_108bf38733e3937537f0,Ministère des Ressources naturelles et des Forêts,31,2022-03-07,2026-07-24,5,1600
Transcription / minutes,VIDEO_AUDIO,TED,HRV,buy_bf2fcdabac3828c9c189,GRAD KASTAV,31,2024-04-09,2026-07-20,3,832
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,LVA,buy_4f3a1b7a7c2e453ef94b,"VSIA ""Bērnu klīniskā universitātes slimnīca""",31,2024-02-26,2026-06-30,3,855
Online forms / lightweight portals,WEB_DIGITAL,TED,FIN,buy_b25d30d271157ab27322,Tulli,30,2023-09-28,2026-08-07,4,1044
Low-code / no-code implementation,AUTOMATION_SOFTWARE,TED,ESP,buy_262acb26bfbdf5a4121e,Entidad Pública Aragonesa de Servicios Telemáticos,30,2023-11-16,2026-07-23,4,980
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_dddf0556d1d18b0828d0,Kamer van Koophandel,30,2023-12-31,2026-06-15,4,897
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_088f78a2457b6907eb22,Waterschap Vechtstromen,30,2023-11-26,2026-06-12,4,929
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,CZE,buy_85fe87d2665464f38efa,AŽD Praha s.r.o.,29,2024-02-05,2026-08-12,3,919
Web hosting / domain / SSL,WEB_DIGITAL,TED,LUX,buy_eeed8814d806fe8dfbe5,European High-Performance Computing Joint Undertaking,29,2023-11-22,2026-07-22,4,973
Transcription / minutes,VIDEO_AUDIO,TED,CZE,buy_85fe87d2665464f38efa,Ministerstvo vnitra,29,2024-03-19,2026-07-07,3,840
Website design / redesign,WEB_DIGITAL,TED,SWE,buy_3d59e3bbb5e2f64301ba,Karolinska Institutet,29,2023-12-20,2026-07-01,4,924
Website design / redesign,WEB_DIGITAL,TED,LUX,buy_eeed8814d806fe8dfbe5,European Investment Bank,29,2023-12-27,2026-05-18,4,873
Transcription / minutes,VIDEO_AUDIO,TED,PRT,buy_091d5eef279cbb542f9f,"Secretaria-Geral do Ministério do Trabalho, Solidariedade e Segurança Social",28,2024-02-11,2026-08-01,3,902
Signage / wayfinding / vinyl,PRINT_BROKERAGE,TED,NOR,buy_581df20f038735ed5497,Nord Universitet,28,2024-01-04,2026-07-16,3,924
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_cfe92666bc58c22c4858,"LEIDOS SUPPLY, LIMITED",28,2024-03-11,2026-07-15,3,856
Website design / redesign,WEB_DIGITAL,TED,FIN,buy_b25d30d271157ab27322,Helsinki Partners Oy,27,2023-10-25,2026-06-24,4,973
Brochure / flyer / poster printing,PRINT_BROKERAGE,Quebec,Canada - Quebec,buy_69b4b0c5801f73def668,Société de l'assurance automobile du Québec .,27,2023-09-15,2026-06-18,4,1007
Website design / redesign,WEB_DIGITAL,Belgium,BE,buy_54dd4404e437ce302c0fad11,Loterie Nationale,27,2023-09-08,2026-06-08,4,1004
Signage / wayfinding / vinyl,PRINT_BROKERAGE,Belgium,BE,buy_876811305d538dfd4b065900,SPI(3p),27,2023-09-11,2026-06-08,4,1001
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_46706e4367a785caace6,Birmingham City Council,26,2025-03-13,2026-07-30,2,504
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_56922b37cba1c3a0869c,Department of Agriculture and Agri-Food (AAFC),26,2025-04-16,2026-07-24,2,464
E-learning / training content,TRAINING,TED,ESP,buy_262acb26bfbdf5a4121e,"Secretaría General de la Consejería de Hacienda, Administraciones Públicas y Transformación Digital de la Junta de Comunidades de Castilla-La Mancha",26,2023-12-07,2026-07-15,4,951
Transcription / minutes,VIDEO_AUDIO,TED,SWE,buy_3d59e3bbb5e2f64301ba,Karolinska Institutet,26,2024-01-29,2026-07-10,3,893
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_68d48c478eca92392701,Stevenage Borough Council,26,2023-08-30,2026-06-05,3,1010
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_dddf0556d1d18b0828d0,Kamer van Koophandel,26,2023-12-22,2026-04-16,4,846
Online forms / lightweight portals,WEB_DIGITAL,TED,SWE,buy_3d59e3bbb5e2f64301ba,Västra Götalandsregionen,25,2023-11-21,2026-08-04,4,987
Labels / stickers / QR materials,PRINT_BROKERAGE,TED,NOR,buy_581df20f038735ed5497,STATSBYGG,25,2023-10-31,2026-07-02,4,975
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_2fcdca71f037bbac4cc1,Reading Borough Council,25,2023-09-29,2026-06-29,4,1004
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_392f3edac19a48df0790,Ministerie van Justitie en Veiligheid,25,2023-08-30,2026-06-21,4,1026
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_4cee1a1f9cf18f011b33,Gemeente Rotterdam,25,2023-12-17,2026-06-09,4,905
Web hosting / domain / SSL,WEB_DIGITAL,TED,ITA,buy_811f3d14bc58dffafbdd,AUTOSTRADA PEDEMONTANA LOMBARDA SPA,24,2024-02-02,2026-07-20,3,899
Document digitization / scanning,DATA_ADMIN,TED,ESP,buy_262acb26bfbdf5a4121e,"Presidencia del Consejo de Administración de la Sociedad Estatal de Infraestructuras del Transporte Terrestre, S.M.E., S.A.",24,2023-11-22,2026-07-14,4,965
Document digitization / scanning,DATA_ADMIN,TED,POL,buy_e4d061caa68fce2f60e7,Urząd Regulacji Energetyki,24,2023-12-04,2026-07-07,4,946
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,FIN,buy_b25d30d271157ab27322,Åbo Akademi,24,2023-10-02,2026-07-06,4,1008
Brochure / flyer / poster printing,PRINT_BROKERAGE,Belgium,BE,buy_1fd646927ccf0553057b4833,bpost,24,2024-02-23,2026-03-10,3,746
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,MKD,buy_5ed803fae1f670fc4749,Ministry of Finance - Public Revenue Office,23,2024-02-21,2026-08-11,3,902
Brochure / flyer / poster printing,PRINT_BROKERAGE,Germany,Germany,buy_3b40c9402a09a456f724,TenneT TSO GmbH,23,2023-12-12,2026-07-18,4,949
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_ee5053c46f8ae45fe166,Meerinzicht,23,2023-12-20,2026-06-25,4,918
Transcription / minutes,VIDEO_AUDIO,TED,FIN,buy_b25d30d271157ab27322,Åbo Akademi,23,2023-11-20,2026-04-13,4,875
Document digitization / scanning,DATA_ADMIN,TED,CZE,buy_85fe87d2665464f38efa,VÍTKOVICKÁ STŘEDNÍ PRŮMYSLOVÁ ŠKOLA,22,2024-05-22,2026-08-07,3,807
Data entry / back-office processing,DATA_ADMIN,TED,ITA,buy_811f3d14bc58dffafbdd,Società Riscossioni S.p.A. siglabile Soris S.p.A.,22,2024-07-16,2026-07-30,3,744
Transcription / minutes,VIDEO_AUDIO,TenderNed,Netherlands,buy_030687f7b738d520febd,Gemeente Amstelveen,22,2023-10-04,2026-06-15,4,985
Brochure / flyer / poster printing,PRINT_BROKERAGE,France,France,buy_106b4e1aa023e5241706,Ville de Marseille,22,2023-08-09,2026-06-01,4,1027
Online forms / lightweight portals,WEB_DIGITAL,TED,CHE,buy_bacf2bcb45c828276231,ETH Zürich - Abt. Informatikdienste,22,2023-11-10,2026-05-08,4,910
Data cleaning / deduplication,DATA_ADMIN,TED,NOR,buy_581df20f038735ed5497,Oslo Universitetssykehus HF (hovedenhet),22,2024-02-16,2026-04-14,3,788
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,MLT,buy_49603fbd0efcf57ee39e,Water Services Corporation,22,2024-01-16,2026-03-19,3,793
Transcription / minutes,VIDEO_AUDIO,TED,ESP,buy_841549a12d17237ad802,Grupo Euskal Irrati Telebista - Departamento de Programación de ETB,21,2023-12-01,2026-07-24,4,966
Document digitization / scanning,DATA_ADMIN,TED,MLT,buy_49603fbd0efcf57ee39e,Department of Contracts,21,2024-03-07,2026-07-16,3,861
Online forms / lightweight portals,WEB_DIGITAL,TED,SVN,buy_e485d016ee83f57656f8,"RADIOTELEVIZIJA SLOVENIJA javni zavod, Ljubljana",21,2024-02-01,2026-05-05,3,824
Simple API / software integration,AUTOMATION_SOFTWARE,TED,SVK,buy_73db5c7f5f9933800fa8,Železnice Slovenskej republiky,21,2023-10-26,2026-04-30,4,917
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_19cfbdef31ea33c39da9,Politie,21,2023-08-05,2026-02-15,4,925
Website design / redesign,WEB_DIGITAL,United Kingdom,United Kingdom,buy_9dfac7c0d0d8e0332934,SUPPLY CHAIN COORDINATION LIMITED,20,2025-05-22,2026-07-07,2,411
